Date,Price,Open,High,Low,Vol.,Change
10/10/2018,1190.8,1189.9,1195.3,1186,0.29K,0.17%
10/09/2018,1188.8,1189.6,1192.5,1184,0.20K,0.25%
10/08/2018,1185.8,1204.6,1204.6,1184.6,0.32K,-1.41%
10/05/2018,1202.8,1200.7,1205.9,1199,0.20K,0.33%
10/04/2018,1198.8,1198.3,1207.6,1197.2,0.15K,-0.11%
10/03/2018,1200.1,1204.4,1209.1,1198.1,0.21K,-0.34%
10/02/2018,1204.2,1191.3,1209.1,1190.1,0.80K,1.24%
10/01/2018,1189.4,1193.9,1193.9,1186.5,0.21K,-0.38%
09/28/2018,1193.9,1184.6,1194.3,1182.6,0.41K,0.71%
09/27/2018,1185.5,1196.8,1200.4,1184.2,0.34K,-0.75%
09/26/2018,1194.4,1200.3,1201.3,1190,17.86K,-0.44%
09/25/2018,1199.7,1198.1,1202.5,1196.6,14.90K,0.01%
09/24/2018,1199.6,1199.5,1203.9,1194.1,9.70K,0.25%
09/21/2018,1196.6,1207.4,1210.8,1191.8,6.85K,-0.83%
09/20/2018,1206.6,1204.4,1208.5,1201,7.49K,0.22%
09/19/2018,1203.9,1198.4,1206.4,1198.3,6.80K,0.45%
09/18/2018,1198.5,1201.9,1203.5,1196.1,4.13K,-0.22%
09/17/2018,1201.2,1194.7,1205,1193,6.10K,0.42%
09/14/2018,1196.2,1201.8,1208.5,1192.9,6.82K,-0.55%
09/13/2018,1202.8,1207,1212.4,1200,13.99K,-0.22%
09/12/2018,1205.5,1197.7,1208.3,1192.4,5.02K,0.73%
09/11/2018,1196.8,1195.4,1199.5,1187.4,6.84K,0.19%
09/10/2018,1194.5,1195.4,1198.5,1190.9,6.24K,-0.05%
09/07/2018,1195.1,1200.3,1203.5,1193.5,8.27K,-0.33%
09/06/2018,1199,1197,1207.4,1195.7,10.08K,0.24%
09/05/2018,1196.1,1192,1198.9,1191.6,6.88K,0.18%
09/04/2018,1194,1201.1,1204.5,1190,10.11K,-0.43%
09/03/2018,1199.1,1207,1207.6,1195.1,421.47K,-0.21%
08/31/2018,1201.6,1201.5,1209.7,1199.1,5.65K,0.13%
08/30/2018,1200,1207.7,1209,1197.2,5.16K,-0.35%
08/29/2018,1204.2,1200.9,1205.8,1200.9,0.82K,-0.27%
08/28/2018,1207.5,1210.9,1213.8,1199.6,1.22K,-0.14%
08/27/2018,1209.2,1206.3,1211.5,1202.3,0.73K,0.24%
08/24/2018,1206.3,1185.3,1207.9,1183,0.59K,1.61%
08/23/2018,1187.2,1196.1,1196.5,1183.5,0.48K,-0.77%
08/22/2018,1196.4,1196,1201.1,1193,0.38K,0.27%
08/21/2018,1193.2,1190.6,1197,1187.7,0.47K,0.45%
08/20/2018,1187.8,1183.9,1190.3,1182.9,0.25K,0.89%
08/17/2018,1177.3,1173.7,1184.7,1172.1,0.54K,0.02%
08/16/2018,1177.1,1175.8,1181.7,1160.4,1.35K,-0.09%
08/15/2018,1178.2,1194.2,1194.8,1173.2,1.13K,-1.32%
08/14/2018,1194,1194.5,1199,1192.5,0.79K,0.15%
08/13/2018,1192.2,1211.6,1214.5,1191.8,1.54K,-1.64%
08/10/2018,1212.1,1212.9,1217.7,1206.5,0.82K,-0.07%
08/09/2018,1213,1214.3,1218.2,1212,0.51K,-0.10%
08/08/2018,1214.2,1211.5,1216.4,1207,0.63K,0.25%
08/07/2018,1211.2,1209.2,1216.9,1209,1.06K,0.05%
08/06/2018,1210.6,1215.2,1218.7,1207.5,0.70K,-0.44%
08/03/2018,1215.9,1209.3,1221.1,1205.3,1.00K,0.25%
08/02/2018,1212.9,1218.7,1222.6,1208.4,1.62K,-0.61%
08/01/2018,1220.3,1225.6,1226.5,1217.2,0.89K,-0.50%
07/31/2018,1226.4,1223.5,1230.6,1215.8,1.10K,0.18%
07/30/2018,1224.2,1225.8,1227.1,1221.7,1.69K,0.10%
07/27/2018,1223,1222.4,1226.9,1216.7,254.43K,-0.22%
07/26/2018,1225.7,1231.7,1235.3,1221.7,285.61K,-0.50%
07/25/2018,1231.8,1224.2,1234.3,1223.2,272.25K,0.51%
07/24/2018,1225.5,1224.4,1229.7,1218.1,299.06K,-0.01%
07/23/2018,1225.6,1231.7,1235.2,1222.2,333.33K,-0.45%
07/20/2018,1231.1,1222.9,1232.4,1215.3,355.23K,0.58%
07/19/2018,1224,1227.3,1229.6,1210.7,428.88K,-0.32%
07/18/2018,1227.9,1227,1229.1,1220.9,283.98K,0.05%
07/17/2018,1227.3,1240.8,1245.1,1225.9,318.22K,-1.00%
07/16/2018,1239.7,1241,1245.8,1238.3,186.30K,-0.12%
07/13/2018,1241.2,1247.7,1248.5,1236.2,257.31K,-0.43%
07/12/2018,1246.6,1242.3,1248.8,1241.4,220.96K,0.18%
07/11/2018,1244.4,1256.7,1257.3,1241.7,299.64K,-0.88%
07/10/2018,1255.4,1258.5,1261,1247.7,272.63K,-0.33%
07/09/2018,1259.6,1255.7,1266.9,1255.7,238.97K,0.30%
07/06/2018,1255.8,1258.4,1260.2,1253.7,200.19K,-0.24%
07/05/2018,1258.8,1253.5,1262.4,1252.2,392.95K,0.00%
07/04/2018,1258.8,1257.7,1261,1252.2,392.95K,0.42%
07/03/2018,1253.5,1242.9,1258.5,1238.8,297.34K,0.95%
07/02/2018,1241.7,1253.4,1255.6,1240.6,262.87K,-1.02%
06/29/2018,1254.5,1249.5,1257.1,1246.9,226.20K,0.28%
06/28/2018,1251,1253.6,1255.8,1247.2,241.82K,-0.16%
